"00:02:44,760","00:02:45,886
", ,CHARLIE

"00:02:45,928","00:02:47,930
", ,JOHN BRIDGER

"00:02:48,014","00:02:50,808
", ,STELLA

"00:02:50,891","00:02:52,143
", ,CHARLIE

"00:02:52,268","00:02:53,811
", ,STELLA  

"00:02:53,894","00:02:56,439
", ,JOHN BRIDGER

"00:02:56,522","00:02:59,150
", ,STELLA

"00:02:59,233","00:03:00,359
", ,CHARLIE

"00:03:00,443","00:03:02,236
", ,JOHN BRIDGER

"00:03:03,321","00:03:05,531
", ,STELLA

"00:03:05,615","00:03:09,452
", ,JOHN BRIDGER

"00:03:11,704","00:03:13,122
", ,CHARLIE

"00:03:13,164","00:03:14,832
", ,JOHN BRIDGER

"00:03:14,915","00:03:17,335
",long,JOHN BRIDGER

"00:03:17,418","00:03:19,879
", ,JOHN BRIDGER

"00:03:22,923","00:03:25,301
", ,STELLA

"00:03:25,384","00:03:27,637
", ,STEVE

"00:03:27,720","00:03:29,764
", ,JOHN BRIDGER

"00:03:29,847","00:03:32,642
", ,JOHN BRIDGER

"00:03:32,725","00:03:34,352
", ,STELLA

"00:03:34,435","00:03:35,561
",break,STELLA

"00:03:35,645","00:03:37,229
", ,STELLA

"00:03:37,313","00:03:40,066
", ,JOHN BRIDGER

"00:03:41,859","00:03:43,569
", ,RECEPTIONIST

"00:03:43,653","00:03:45,321
",on,CHRISTINA GRIEGO

"00:03:45,404","00:03:48,824
", ,RECEPTIONIST

"00:03:48,866","00:03:49,992
", ,JOHN BRIDGER

"00:03:50,076","00:03:51,661
", ,JOHN BRIDGER

"00:03:51,744","00:03:53,162
", ,STELLA

"00:03:58,334","00:03:59,460
", ,JOHN BRIDGER

"00:04:06,175","00:04:07,593
", ,JOHN BRIDGER

"00:04:07,677","00:04:09,220
", ,STEVE

"00:04:09,303","00:04:10,513
", ,JOHN BRIDGER

"00:04:10,596","00:04:11,764
", ,YEVHEN

"00:04:11,847","00:04:13,099
", ,YEVHEN

"00:04:13,182","00:04:14,517
", ,LYLE

"00:04:14,600","00:04:16,102
", ,CHARLIE

"00:04:16,185","00:04:17,395
", ,CHARLIE

"00:04:17,478","00:04:19,397
", ,JOHN BRIDGER

"00:04:19,480","00:04:21,065
", ,JOHN BRIDGER

"00:04:21,148","00:04:22,316
", ,JOHN BRIDGER

"00:04:22,358","00:04:23,401
", ,JOHN BRIDGER

"00:04:23,484","00:04:24,986
", ,JOHN BRIDGER

"00:04:25,027","00:04:27,196
", ,LYLE

"00:04:28,531","00:04:30,074
", ,HANDSOME ROB

"00:04:30,157","00:04:32,410
",up,RICHARD

"00:04:32,493","00:04:33,411
", ,STELLA

"00:04:33,494","00:04:35,454
", ,JOHN BRIDGER

"00:04:42,878","00:04:44,672
", ,JOHN BRIDGER

"00:04:45,715","00:04:47,466
",get up,CHARLIE

"00:04:47,550","00:04:49,135
", ,CHARLIE

"00:04:49,218","00:04:50,344
", ,JOHN BRIDGER

"00:04:50,386","00:04:51,345
", ,RICHARD

"00:04:51,387","00:04:52,805
", ,CHARLIE

"00:04:52,888","00:04:54,849
",out retirement,CHARLIE

"00:04:54,890","00:04:56,559
", ,RICHARD

"00:04:56,642","00:04:59,228
", ,STEVE

"00:04:59,312","00:05:01,856
",along,JOHN BRIDGER

"00:05:01,897","00:05:03,441
", ,MASHKOV

"00:05:03,524","00:05:04,609
", ,HOMEBOY

"00:05:04,692","00:05:06,652
",get position,CHARLIE

"00:05:06,736","00:05:08,613
",means work,CHARLIE

"00:05:08,696","00:05:09,905
", ,STELLA

"00:05:09,989","00:05:11,866
", ,CHARLIE

"00:05:11,907","00:05:13,659
", ,CHARLIE

"00:05:15,828","00:05:18,581
", ,MASHKOV

"00:05:18,664","00:05:20,082
", ,STELLA

"00:05:20,166","00:05:21,417
",on,STEVE

