"00:02:44,760","00:02:45,886
",Hello.,CHARLIE
"00:02:45,928","00:02:47,930
","Hello, sweetie.",JOHN BRIDGER
"00:02:48,014","00:02:50,808
",Daddy.,STELLA
"00:02:50,891","00:02:52,143
",It's early.,CHARLIE
"00:02:52,268","00:02:53,811
","Yeah, I know.",STELLA
"00:02:53,894","00:02:56,439
",I just wanted to let you know I'm sending you something.,JOHN BRIDGER
"00:02:56,522","00:02:59,150
",Mmm. Does it smell nice?,STELLA
"00:02:59,233","00:03:00,359
","No,",CHARLIE
"00:03:00,443","00:03:02,236
",but it's sparkly.,JOHN BRIDGER
"00:03:03,321","00:03:05,531
",Does it have a receipt?,STELLA
"00:03:05,615","00:03:09,452
",I'm sending it to you from the store.,JOHN BRIDGER
"00:03:11,704","00:03:13,122
",Why don't you just come by?,CHARLIE
"00:03:13,164","00:03:14,832
","We'll have some breakfast, hmm?",JOHN BRIDGER
"00:03:14,915","00:03:17,335
","Well, it'd be a long trip.",JOHN BRIDGER
"00:03:17,418","00:03:19,879
",I'm in Venice.,JOHN BRIDGER
"00:03:22,923","00:03:25,301
","With your parole officer's approval, of course.",STELLA
"00:03:25,384","00:03:27,637
","Well, I like the guy, Stella, you know that,",STEVE
"00:03:27,720","00:03:29,764
",but we never really connected.,JOHN BRIDGER
"00:03:29,847","00:03:32,642
",So I think I've paid my P.O. his last visit.,JOHN BRIDGER
"00:03:32,725","00:03:34,352
","What are you into, Dad?",STELLA
"00:03:34,435","00:03:35,561
",Don't break my heart.,STELLA
"00:03:35,645","00:03:37,229
",You told me you were through.,STELLA
"00:03:37,313","00:03:40,066
","After this I am, I swear to you.",JOHN BRIDGER
"00:03:41,859","00:03:43,569
",Is Charlie there?,RECEPTIONIST
"00:03:43,653","00:03:45,321
","I'm on a cell phone, darling.",CHRISTINA GRIEGO
"00:03:45,404","00:03:48,824
",I'll call you tomorrow from a land line.,RECEPTIONIST
"00:03:48,866","00:03:49,992
",I love you.,JOHN BRIDGER
"00:03:50,076","00:03:51,661
",Go back to sleep. Bye.,JOHN BRIDGER
"00:03:51,744","00:03:53,162
",D... Dad?,STELLA
"00:03:58,334","00:03:59,460
","I love you, too.",JOHN BRIDGER
"00:04:06,175","00:04:07,593
",I sent it.,JOHN BRIDGER
"00:04:07,677","00:04:09,220
",You're supposed to do your shopping,STEVE
"00:04:09,303","00:04:10,513
",after we pull off the job.,JOHN BRIDGER
"00:04:10,596","00:04:11,764
",I feel so optimistic.,YEVHEN
"00:04:11,847","00:04:13,099
",So?,YEVHEN
"00:04:13,182","00:04:14,517
",How do you feel?,LYLE
"00:04:14,600","00:04:16,102
",I'm fine.,CHARLIE
"00:04:16,185","00:04:17,395
",Fine?,CHARLIE
"00:04:17,478","00:04:19,397
","You know what ""fine"" stands for, don't you?",JOHN BRIDGER
"00:04:19,480","00:04:21,065
","Yeah, unfortunately.",JOHN BRIDGER
"00:04:21,148","00:04:22,316
","""Freaked out.""",JOHN BRIDGER
"00:04:22,358","00:04:23,401
",#VALUE!,JOHN BRIDGER
"00:04:23,484","00:04:24,986
","- And ""Emotional."" - Good.",JOHN BRIDGER
"00:04:25,027","00:04:27,196
",See those columns behind you?,LYLE
"00:04:28,531","00:04:30,074
",What about them?,HANDSOME ROB
"00:04:30,157","00:04:32,410
",That's where they used to string up thieves,RICHARD
"00:04:32,493","00:04:33,411
","who felt ""fine.""",STELLA
"00:04:33,494","00:04:35,454
",Well... after you.,JOHN BRIDGER
"00:04:42,878","00:04:44,672
",For after the haul.,JOHN BRIDGER
"00:04:45,715","00:04:47,466
",Hope I get to fire it up.,CHARLIE
"00:04:47,550","00:04:49,135
",Still no word from the garbagemen?,CHARLIE
"00:04:49,218","00:04:50,344
",No.,JOHN BRIDGER
"00:04:50,386","00:04:51,345
","If they're no-shows,",RICHARD
"00:04:51,387","00:04:52,805
",three months of prep down the tubes,CHARLIE
"00:04:52,888","00:04:54,849
",and I dragged you out of retirement for nothing.,CHARLIE
"00:04:54,890","00:04:56,559
","Oh, this is fun. I like this.",RICHARD
"00:04:56,642","00:04:59,228
","You've taken over the reins, all the worries.",STEVE
"00:04:59,312","00:05:01,856
","Me loosey-goosey, just along for the ride.",JOHN BRIDGER
"00:05:01,897","00:05:03,441
","I'm glad you're enjoying yourself, John.",MASHKOV
"00:05:03,524","00:05:04,609
","Just remember, a police boat",HOMEBOY
"00:05:04,692","00:05:06,652
",can get from the station to our position in seven.,CHARLIE
"00:05:06,736","00:05:08,613
",That means you got four minutes to work your magic.,CHARLIE
"00:05:08,696","00:05:09,905
","Now, you told me ten,",STELLA
"00:05:09,989","00:05:11,866
",and you said I would have five.,CHARLIE
"00:05:11,907","00:05:13,659
",When?,CHARLIE
"00:05:15,828","00:05:18,581
","Do not be messing with me right now, okay?",MASHKOV
"00:05:18,664","00:05:20,082
",#NAME?,STELLA
"00:05:20,166","00:05:21,417
","Come on, take your best shot.",STEVE
"00:05:21,500","00:05:22,418
",Come on.,LYLE
"00:05:22,501","00:05:23,836
",What? Uh-oh.,STELLA
"00:05:34,513","00:05:35,431
",Come on.,LYLE
"00:05:35,514","00:05:36,641
",Let's go.,CHARLIE
"00:05:36,724","00:05:38,100
",What is it this time?,JOHN BRIDGER
"00:05:38,184","00:05:39,560
",Da Vinci. Architect.,JOHN BRIDGER
"00:05:39,602","00:05:40,811
",Engineer. Painter.,JOHN BRIDGER
"00:05:40,895","00:05:42,104
","Yeah, fascinating.",JOHN BRIDGER
"00:05:42,188","00:05:43,314
","Hey, look, look. Check this out.",STELLA
"00:05:43,397","00:05:47,109
","""Learn the language of poetry, art, romance, sex.""",STELLA
"00:05:48,527","00:05:50,780
","Unlike you, my friend, I don't need a guidebook.",CHARLIE
"00:05:50,863","00:05:52,114
",Can we go? Please?,HANDSOME ROB
"00:05:52,198","00:05:54,617
","Right, guv'nor.",HANDSOME ROB
"00:05:54,700","00:05:56,118
","Come along, make yourself useful.",LYLE
"00:05:56,202","00:05:57,411
",Untie that line.,LYLE
"00:05:57,453","00:05:58,579
",Today.,LYLE
"00:05:58,663","00:05:59,747
",Yeah.,HANDSOME ROB
"00:05:59,789","00:06:00,790
","Yeah, Gilligan.",HANDSOME ROB
"00:06:00,873","00:06:01,916
",If you don't mind.,STEVE
"00:06:40,162","00:06:41,289
",- We set? - Yeah. I've enhanced,HANDSOME ROB
"00:06:41,372","00:06:43,624
",the viewing matrix to track both the Cartesian coordinates,CHARLIE
"00:06:43,666","00:06:45,084
","and three altitude angles,",CHARLIE
"00:06:45,167","00:06:46,711
","the yaw, pitch and roll to give us",STELLA
"00:06:46,794","00:06:48,337
",the exact position and orientation of our baby.,LYLE
"00:06:48,421","00:06:49,380
",We're in Italy.,CHARLIE
"00:06:49,463","00:06:50,673
",Speak English.,CHARLIE
"00:06:50,756","00:06:52,466
","Steve, how we looking?",RICHARD
"00:06:52,508","00:06:57,096
","Papa took the boat to work at 8:15, so the garage is empty.",OFFICE
"00:06:57,179","00:07:01,475
",Mama left with daughter at 8:30 for preschool as usual.,JOHN BRIDGER
"00:07:01,559","00:07:03,728
","So for the next 45 minutes,",HANDSOME ROB
"00:07:03,811","00:07:05,521
","we own this place, gentlemen.",LYLE
"00:07:05,605","00:07:07,940
",Still no word from the garbagemen?,CHARLIE
"00:07:08,024","00:07:10,067
","Hey, who got you the beekeepers in Budapest?",CHARLIE
"00:07:10,151","00:07:11,193
",They'll be there.,RICHARD
"00:07:11,277","00:07:12,653
",You can trust these guys.,STEVE
"00:07:12,695","00:07:15,072
","Steve, how many times do I have to tell you?",STEVE
"00:07:15,197","00:07:19,577
",I trust everyone... I just don't trust the devil inside them.,JOHN BRIDGER
"00:08:07,792","00:08:08,751
",We're in.,LYLE
"00:08:26,143","00:08:28,187
",Just tell me where to paint.,STEVE
"00:08:36,195","00:08:37,905
",Your men are still not in position?,HANDSOME ROB
"00:08:37,947","00:08:39,448
",They will be.,STELLA
"00:08:39,532","00:08:41,534
","Well, you don't know that, Steve. We should abort.",STEVE
"00:08:41,617","00:08:45,413
","I'm sorry, John, but I think that's Charlie's call now.",STEVE
"00:08:49,959","00:08:52,336
",Our baby's being taken out of here tonight.,RICHARD
"00:08:52,420","00:08:53,587
",This is our only shot at it.,JOHN BRIDGER
"00:08:57,091","00:08:58,259
",Charlie?,LYLE
"00:08:59,927","00:09:01,053
",Keep going?,LYLE
"00:09:01,137","00:09:03,055
","It's up to you, kid.",JOHN BRIDGER
"00:09:03,180","00:09:05,057
",It's a go.,JOHN BRIDGER
"00:09:08,853","00:09:09,812
","Okay, Steve.",STEVE
"00:09:11,647","00:09:15,818
","From the west wall, measure 14 feet, eight inches.",LYLE
"00:09:15,901","00:09:17,069
",Got it.,JOHN BRIDGER
"00:09:17,153","00:09:18,821
","Now measure eight feet, five inches",STELLA
"00:09:18,904","00:09:20,448
",from the north wall.,CHARLIE
"00:09:20,531","00:09:22,241
",That's the northwest corner of our baby.,LYLE
"00:09:23,618","00:09:24,619
",Got it.,JOHN BRIDGER
"00:09:24,702","00:09:25,745
","Well, it's right above you.",RICHARD
"00:09:59,028","00:10:00,112
","Now, paint.",RICHARD
"00:10:00,237","00:10:03,491
","Two feet, nine inches wide.",HALF-EAR
"00:10:03,574","00:10:05,660
","Two feet, five inches deep.",STELLA
"00:10:05,743","00:10:07,954
","Okay, Left Ear. You're up.",CHARLIE
