Response number,Speaker,Content
1,Dr. Hank Pym,Stark.
2,Mitchell Carson,He doesnt seem happy.
3,Howard Stark,"Hello, Hank. Youre supposed to be in Moscow."
4,Dr. Hank Pym,I took a detour. [he places a vial containing a red serum on the table] Through your defense lab.
5,Peggy Carter,Tell me that isnt what I think it is.
6,Dr. Hank Pym,"It depends, if you think its a poor attempt to replicate my work. Even for this group, that takes nerve."
7,Mitchell Carson,"You were instructed to go to Russia. May I remind you, Dr. Pym, that youre a soldier…"
8,Dr. Hank Pym,Im a scientist.
9,Howard Stark,"Then act like one. The Pym Particle is the most revolutionary science ever developed, help us put it to good use."
10,Dr. Hank Pym,"I let you turn me into your errand boy, and now you try to steal my research?"
11,Mitchell Carson,"If only youd protected Janet with such ferocity, Dr. Pym."
12,Dr. Hank Pym,"Oh, god. [suddenly Pym slams down Carsons face on the table in anger, Peggy pulls him away]"
13,Peggy Carter,"Easy, Hank."
14,Dr. Hank Pym,You mention my wife again and Ill show you ferocity. [Carson looks at Stark as he wipes blood from his nose]
15,Howard Stark,"Dont look at me, you said it."
16,Dr. Hank Pym,I formally tender my resignation.
17,Howard Stark,"We dont accept it. Formally. Hank, we need you. The Pym Particle is a miracle. Please, dont let your past determine the future."
18,Dr. Hank Pym,"As long as I am alive, nobody will ever get that formula. [Pym turns and leaves]"
19,Mitchell Carson,We shouldnt let him leave the building.
20,Peggy Carter,"Youve already lied to him, now you want to go to war with him?"
21,Mitchell Carson,Yes! Our scientists havent come close to replicating his work.
22,Howard Stark,"He just kicked your ass full size. You really want to find out what its like when you cant see him coming? Ive known Hank Pym for a long time, hes no security risk. Unless we make him one. [Music plays as MARVEL appears on the screen] [Present Day – Scott Lang is in prison getting punched in the face by another prisoner, Peachy]"
23,Peachy,You like that? You like that? Come get you some then! [the other prisoners are gathered around them cheering them along] [Scott tries to hit Peachy in the stomach but he doesnt flinch]
24,Scott Lang,You didnt even move.
25,Peachy,Nah.
26,Scott Lang,"I mean, what if I come in on the left side, right? Just out here and see this here… [suddenly Scott punches Peachy in the face]"
27,Peachy,"Im gonna miss you, Scott."
