"00:00:03,999","00:00:05,932
",3999,5932,ANT-MAN Translation. Review by Angel.,Howard Stark
"00:00:09,387","00:00:13,787
",9387,13787,1989,Howard Stark
"00:00:19,621","00:00:21,148
",19621,21148,Stark!,Howard Stark
"00:00:21,541","00:00:22,661
",21541,22661,He does not seem happy.,Mitchell Carson
"00:00:22,861","00:00:24,361
",22861,24361,"Hello, Hank!",Howard Stark
"00:00:25,901","00:00:27,421
",25901,27421,You are supposed to be in Moscow.,Howard Stark
"00:00:27,621","00:00:29,387
",27621,29387,I took a detour.,Dr. Hank Pym
"00:00:30,461","00:00:32,591
",30461,32591,Through your defense lab.,Dr. Hank Pym
"00:00:33,341","00:00:35,541
",33341,35541,Tell me that is not what I think it is.,Peggy Carter
"00:00:35,741","00:00:39,661
",35741,39661,That depends if you think it is a poor attempt to replicate my work.,Dr. Hank Pym
"00:00:39,861","00:00:43,021
",39861,43021,"Even for this group, that takes nerve.",Dr. Hank Pym
"00:00:43,221","00:00:44,721
",43221,44721,You were instructed to go to Russia.,Mitchell Carson
"00:00:44,821","00:00:46,861
",44821,46861,"May I remind you, Dr. Pym? That you are a soldier.",Mitchell Carson
"00:00:46,901","00:00:47,901
",46901,47901,I am a scientist.,Dr. Hank Pym
"00:00:48,101","00:00:49,621
",48101,49621,Then act like one.,Howard Stark
"00:00:49,821","00:00:52,421
",49821,52421,The Pym Particle is the most revolutionary science ever developed.,Howard Stark
"00:00:52,461","00:00:53,541
",52461,53541,Help us put it to good use.,Howard Stark
"00:00:53,661","00:00:55,941
",53661,55941,"I let you turn me into your errand boy,",Dr. Hank Pym
"00:00:56,141","00:00:57,941
",56141,57941,and now do you try to steal my research?,Dr. Hank Pym
"00:00:58,141","00:01:02,467
",58141,62467,"If only you would protected Janet with such ferocity, Dr. Pym.",Mitchell Carson
"00:01:07,181","00:01:09,151
",67181,69151,"Easy, Hank!",Peggy Carter
"00:01:10,501","00:01:13,021
",70501,73021,"You mention my wife again,",Dr. Hank Pym
"00:01:13,221","00:01:15,141
",73221,75141,and I will show you ferocity.,Dr. Hank Pym
"00:01:15,341","00:01:16,947
",75341,76947,You do not look at me. You said it.,Howard Stark
"00:01:18,021","00:01:20,221
",78021,80221,I formally tender my resignation.,Dr. Hank Pym
"00:01:20,421","00:01:22,621
",80421,82621,We do not accept it. Formally.,Howard Stark
"00:01:22,821","00:01:23,981
",82821,83981,"Hank,",Howard Stark
"00:01:24,181","00:01:25,781
",84181,85781,we need you.,Howard Stark
"00:01:25,981","00:01:28,181
",85981,88181,The Pym Particle is a miracle. Please.,Howard Stark
"00:01:28,381","00:01:30,581
",88381,90581,You do not let your past determine the future.,Howard Stark
"00:01:30,781","00:01:33,581
",90781,93581,"As long as I am alive,",Dr. Hank Pym
"00:01:33,781","00:01:37,265
",93781,97265,nobody will ever get that formula.,Dr. Hank Pym
"00:01:43,941","00:01:45,821
",103941,105821,We should not let him leave the building.,Mitchell Carson
"00:01:46,021","00:01:48,101
",106021,108101,You have already lied to him. Now do you want to go to war with him?,Peggy Carter
"00:01:48,301","00:01:49,801
",108301,109801,Yes.,MURTOGG
"00:01:49,901","00:01:52,821
",109901,112821,Our scientists have not come close to replicating his work.,WILL
"00:01:53,021","00:01:54,941
",113021,114941,"He just kicked your ass, full-size.",Mitchell Carson
"00:01:55,141","00:01:58,101
",115141,118101,You really want to find out what it is like when you cannot see him coming?,Howard Stark
"00:01:58,741","00:02:00,261
",118741,120261,I have known Hank Pym for a long time.,Howard Stark
"00:02:00,381","00:02:01,881
",120381,121881,He is not security risk.,Howard Stark
"00:02:04,101","00:02:05,787
",124101,125787,Unless we make him one.,Howard Stark
"00:02:44,581","00:02:46,081
",164581,166081,Do you like that?,Howard Stark
"00:02:46,141","00:02:47,141
",166141,167141,Do you like that?,Peachy
"00:02:47,341","00:02:48,841
",167341,168841,You come get some now.,Peachy
"00:03:00,421","00:03:01,921
",180421,181921,You did not even move.,Peachy
"00:03:02,101","00:03:03,101
",182101,183101,No.,Scott Lang
"00:03:03,141","00:03:05,422
",183141,185422,What if do I come in on the left side? Right! Just down here.,MURTOGG
"00:03:05,461","00:03:06,961
",185461,186961,Do you see this right here?,MURTOGG
"00:03:15,141","00:03:16,661
",195141,196661,"I am going to miss you, Scott.",ELIZABETH
"00:03:16,861","00:03:18,706
",196861,198706,"I am going to miss you, too, Peachy.",JACK
"00:03:20,221","00:03:22,421
",200221,202421,"Man, you people got the weirdest goodbye rituals.",ELIZABETH
"00:03:22,621","00:03:24,461
",202621,204461,"<i>All right, break it up.</i>",Scott Lang
"00:03:24,661","00:03:26,984
",204661,206984,<i>Break it up! Break it up!</i>,Luis
"00:03:37,350","00:03:38,850
",217350,218850,SAN QUENTIN - PENITENTIARY,Peachy
"00:03:44,101","00:03:45,261
",224101,225261,Scott!,Scott Lang
"00:03:45,461","00:03:47,101
",225461,227101,"What is up, man!",Scott Lang
"00:03:47,301","00:03:48,621
",227301,228621,Damn! Hey.,Darren Cross
"00:03:48,821","00:03:51,110
",228821,231110,"Hey, man!",Scott Lang
"00:03:52,901","00:03:54,141
",232901,234141,"Hey, what is up with your eye?",Scott Lang
"00:03:54,341","00:03:57,301
",234341,237301,Well! What do you think? Peachy. It is a going-away present.,Maggie Lang
"00:03:57,501","00:03:59,261
",237501,239261,Yeah. I still got my scar from a year ago.,Luis
"00:03:59,461","00:04:01,431
",239461,241431,#NAME?,Luis
"00:04:02,101","00:04:04,541
",242101,244541,Do you know what? I am still the only one who knocked him out.,Luis
"00:04:04,701","00:04:06,865
",244701,246865,Well! I definitely did not.,Luis
"00:04:07,581","00:04:08,941
",247581,248941,"<I>Thanks for picking me up, brother.</I>",Scott Lang
"00:04:09,021","00:04:11,381
",249021,251381,"<I>Bro, do you think I am going to miss my cell getting out?</I>",Luis
"00:04:11,581","00:04:12,781
",251581,252781,"Hey! How is your girl, man?",Luis
"00:04:12,981","00:04:14,144
",252981,254144,She left me.,Luis
"00:04:14,501","00:04:17,074
",254501,257074,"Yeah! My Mommy died, too.",Scott Lang
"00:04:18,021","00:04:19,521
",258021,259521,"And, my Daddy get deported.",Scott Lang
"00:04:20,861","00:04:21,901
",260861,261901,"However, I get the van!",Luis
"00:04:22,101","00:04:23,628
",262101,263628,#NAME?,Scott Lang
"00:04:24,141","00:04:26,381
",264141,266381,"<i>Thanks for the hook-up, too. I needed a place to stay.</i>",Luis
"00:04:26,581","00:04:28,741
",266581,268741,You wait until you see this couch. You are going to be happy.,Hope van Dyne
"00:04:28,941","00:04:30,301
",268941,270301,You are going to be on your feet in no time. Watch!,Luis
